SR-ID,Title,SN-Refs,Requirement,Rationale,AcceptanceCriteria,Permutations,Priority,Verification,Status,Phase,Area,SupersededBy
SR-053,Dashboard UI uniformity (rubric-adjudicated),SN-024;SN-023,"PROJECT_STATE.html shall read as one system across its tabs and views: one type scale and spacing rhythm; one status/phase/type color vocabulary applied consistently wherever the same concept renders; uniform node, edge, legend, and detail-panel styling across the SVG emitters; the same interaction idiom (expand, hover, detail) wherever the same structure appears.","Realizes SN-024 and SN-023 — how alike is alike enough is subjective at the margins, so cross-view coherence cannot be pinned to a threshold without pinning the wrong thing. It is adjudicated against a written rubric by an independent session rather than by the authoring build, because the build and its author share the assumptions that produced the output: a self-judged view is checked against the intent that made it, not against a reader meeting it cold.","A fresh family-heterogeneous CRITIQUE session judging the generated dashboard against docs/rubrics/dashboard-uniformity.md (authored at [v3]-[g2]) returns APPROVE citing numbered anchors; type scale, color vocabulary, per-emitter node/edge/legend styling, and interaction-idiom consistency are each a rubric anchor.",,C,Test,Verified,3,Trajectory,
SR-054,Dashboard usability (rubric-adjudicated),SN-024;SN-023,"PROJECT_STATE.html shall support its core reading tasks with low friction: a first-time reviewer finds the project state, the next work, and how the parts connect, each within one tab switch; views default to a legible density (start-collapsed per the greater-than-3 rule) and reveal detail without losing context; labels stay readable at default zoom with no clipped or overlapping text.","Realizes SN-024 and SN-023 — task-level usability is perceptual (is this findable, is this legible), so a test can confirm an element exists and not that a reader can use it. Acceptance is adjudicated against a written rubric derived from the stakeholder intent rather than from the test, because a test written by the builder encodes the builder's own idea of usable.","A fresh family-heterogeneous CRITIQUE session judging the generated dashboard against docs/rubrics/dashboard-usability.md (authored at [v3]-[g2]) returns APPROVE citing numbered anchors. The RUBRIC is the acceptance instrument and the single home for which anchors are live: an anchor whose core has been bound to a test is retired there, and a verdict must not cite a retired anchor. This row therefore does not enumerate the live set - it would be a third copy of it, and the copy that goes stale. A clause of the requirement above that a test now holds is verified through the LLR/TC chain, which the registry already records, not by a verdict.",,C,Test,Verified,3,Trajectory,
SR-055,Ingest and human-decision process loops,SN-010;SN-021,"The Process tab shall additionally render the project's two circular working loops as linked flow panels: (A) the intake loop - owner/agent intake -> triage into work items with spec detail -> the scheduler-derived ready frontier in the WI registry (docs/work/) -> build/review -> merge; and (B) the human-decision loop - open-items population (including the gate-ratification table) -> human review and ruling -> the log's Decisions record -> merge - with the LLM_Agent entry point rendered once and shared by both loops; each stage links to its canonical home (status.md, the WI registry (docs/work/), open-items.html, log.md); the panels stay data-derived where a canonical source exists, self-contained, byte-deterministic; a data-less repo renders byte-identically and --check freshness is unchanged.","Realizes SN-010 and SN-021 — the Process tab shows the artifact lifecycle, the resume loop and the slice cadence, but not how work ENTERS or how the human decides, which are the two circular flows that close the method's loop; without them a reader sees the machine and not the way into it. Folding them into the existing panels was rejected: they are loops, and a linear lifecycle panel cannot show a cycle.",The Process tab renders both loop panels with the shared LLM_Agent entry point appearing once; every stage's link resolves to its canonical doc; the gate-ratification stage appears in loop B; a data-less repo renders byte-identically; generation is byte-deterministic and --check trips on stale output.,,C,Test,Verified,3,Trajectory,
SR-056,Decomposition render polish,SN-023;SN-010,"The tiered decomposition views shall render right-sized columns (a tier column no wider than its content requires within a declared bound); one horizontal parent-to-child arrow per containment edge, making containment explicit rather than implied by nesting alone; and a hover/focus highlight that persists on the last-hovered item until another takes it (no flash-on-exit); self-contained, byte-deterministic, --check freshness unchanged.","Realizes SN-023 and SN-010 — the shipped tiering (SR-051) made large projects readable top-down, but a column-wasteful render, implicit containment and a highlight that vanishes on exit each cost the reader something on every visit. These have mechanically assertable outcomes, so verification stays a test; the residual look-and-feel is left to the rubric-adjudicated rows rather than asserted here.",Each containment edge renders exactly one parent-to-child arrow; column widths honor the declared bound; the persistent-highlight contract is present and keyed to the last-hovered node; a data-less repo renders byte-identically; deterministic; --check trips on stale output.,,C,Test,Verified,3,Trajectory,
SR-057,WI-DAG frontier scheduling,SN-025;SN-006,"A stdlib schedule.py library/CLI shall derive the dependency-ready frontier from the tracked WI registry plus the active claims - never from prose - excluding blocked (queued + blockref), deferred, claimed, protected-conflicting and exclusive-conflicting WIs, and exposing ready --explain, ready --format json and simulate --jobs N.","Realizes SN-025 and SN-006 — readiness read from prose is a decision nobody can reproduce, so the validator, the dashboard, the dispatcher and the tests each answer ""what is ready"" differently, and the disagreement surfaces as a WI dispatched against an unmet predecessor. Keeping the hand-curated pointer file was rejected: it encodes one person's ordering and goes stale the moment the DAG changes.","On a fixture registry the ready set contains exactly the WIs whose hard predecessors are done, and excludes each blocked/deferred/claimed/exclusive-conflicting WI with a stated reason code.",,M,Test,Verified,4,Parallel dispatch,
SR-058,Superseded: Deterministic safety classification,SN-025;SN-008,"SR-058 is superseded by SR-093;SR-094;SR-095; active requirements, implementation links, and decomposition evidence shall cite the replacement rows.",Preserves the stable ratified id and its attestation history while removing composite implementation obligations.,Every listed target resolves; the supersession graph is acyclic; no LLR decomposes this row; TC-099 inspects the frozen migration map.,,M,Inspection,Verified,4,Parallel dispatch,SR-093;SR-094;SR-095
SR-059,Retire next-wi; generated status surface,SN-025;SN-010,"The migration shall delete docs/next-wi and docs/run-phase outright (fresh scaffold and migrated repo) and remove every live dependency on them; docs/status.md's derived snapshot is GENERATED (gen_trajectory --status) and freshness-gated, never hand-copied. (The generated docs/run-state surface this row once paired with retired with the dispatcher at Phase 5 - the stop banner and exit codes carry the outcome.)","Realizes SN-025 and SN-010 — the WI DAG, gate class, Priority and the scheduler are together the complete ordering contract, so a second hand-curated pointer is a rival source of truth that silently wins wherever it is still read. Leaving the file in place as a deprecated no-op was rejected: a surface that still parses is a surface something still reads.","A fresh scaffold ships no next-wi/run-phase and is parallel-by-default; no live instruction or executable surface reads, writes, validates, generates or links next-wi; a build-out lane's phase resolves from its {phase}-{gate} branch with run-phase absent.",,M,Test,Verified,4,Parallel dispatch,
SR-060,Explicit worker assignment mode,SN-025;SN-006,"The session engine shall run explicit per-worker claimed assignments (--wi, on the branch integrate.py claim cut; the session tag defaults to the branch name): a worker prompt is assembled from AGENTS.md, the WI row, its SpecRef, predecessor context, the current branch diff, and any rework finding (never docs/status.md or docs/next-wi); worker branches never edit root status, other branches' claims, the root log, or generated artifacts, and the result channel is committed trailer evidence (WI: / Blocked-WI: + BlockRef:).","Realizes SN-025 and SN-006 - dynamic lanes/traincars replace long-lived tracks as the assignment unit, and collision-safe per-assignment state lets many workers run without a shared blackboard (docs/specs/parallel-wi-dispatch.md 2/6/8).",A worker runs from an explicit claimed assignment with no lane files; two concurrent workers write non-colliding logs/review evidence; a worker branch never mutates root coordination truth.,,M,Test,Verified,4,Parallel dispatch,
SR-061,Superseded: Parallel-by-default dispatcher,SN-025;SN-016,"SR-061 is superseded by SR-132 (concurrency-restructure Phase 5, 2026-07-29): the bespoke dispatcher/reservation machinery this specified was deleted outright — git plus the serial local integrator is the integration seam (claims are serial trunk commits, the composed tree is the candidate by construction, recovery is plain git history). Active requirements, implementation links, and decomposition evidence shall cite the replacement row.","Identity history for the Phase 5 deletion (the SS6 fate table): the requirement's job survives in the integration seam, its machinery does not.",The SupersededBy link resolves to SR-132; no LLR cites this row; TC-133 cites it.,,M,Inspection,Verified,4,Parallel dispatch,SR-132
SR-062,Superseded: Change-train continuation,SN-025,"SR-062 is superseded by SR-132 (concurrency-restructure Phase 5, 2026-07-29): the bespoke dispatcher/reservation machinery this specified was deleted outright — git plus the serial local integrator is the integration seam (claims are serial trunk commits, the composed tree is the candidate by construction, recovery is plain git history). Active requirements, implementation links, and decomposition evidence shall cite the replacement row.","Identity history for the Phase 5 deletion (the SS6 fate table): the requirement's job survives in the integration seam, its machinery does not.",The SupersededBy link resolves to SR-132; no LLR cites this row; TC-133 cites it.,,M,Inspection,Verified,4,Parallel dispatch,SR-132
SR-063,Superseded: Atomic serialized integration,SN-025;SN-008,"SR-063 is superseded by SR-096;SR-097;SR-098; active requirements, implementation links, and decomposition evidence shall cite the replacement rows.",Preserves the stable ratified id and its attestation history while removing composite implementation obligations.,Every listed target resolves; the supersession graph is acyclic; no LLR decomposes this row; TC-099 inspects the frozen migration map.,,M,Inspection,Verified,4,Parallel dispatch,SR-096;SR-097;SR-098
SR-064,Superseded: Crash safety and git-as-authority recovery,SN-025;SN-017,"SR-064 is superseded by SR-099;SR-100;SR-101; active requirements, implementation links, and decomposition evidence shall cite the replacement rows.",Preserves the stable ratified id and its attestation history while removing composite implementation obligations.,Every listed target resolves; the supersession graph is acyclic; no LLR decomposes this row; TC-099 inspects the frozen migration map.,,M,Inspection,Verified,4,Parallel dispatch,SR-099;SR-100;SR-101
SR-065,Superseded: Parallel-execution telemetry and downstream migration,SN-025;SN-012,"SR-065 is superseded by SR-132 (concurrency-restructure Phase 5, 2026-07-29): the bespoke dispatcher/reservation machinery this specified was deleted outright — git plus the serial local integrator is the integration seam (claims are serial trunk commits, the composed tree is the candidate by construction, recovery is plain git history). Active requirements, implementation links, and decomposition evidence shall cite the replacement row.","Identity history for the Phase 5 deletion (the SS6 fate table): the requirement's job survives in the integration seam, its machinery does not.",The SupersededBy link resolves to SR-132; no LLR cites this row; TC-133 cites it.,,S,Inspection,Verified,4,Parallel dispatch,SR-132
SR-066,Superseded: Dual-plan decomposition round,SN-024;SN-006,"SR-066 is superseded by SR-102;SR-103;SR-104;SR-105;SR-106;SR-107;SR-108; active requirements, implementation links, and decomposition evidence shall cite the replacement rows.",Preserves the stable ratified id and its attestation history while removing composite implementation obligations.,Every listed target resolves; the supersession graph is acyclic; no LLR decomposes this row; TC-099 inspects the frozen migration map.,,S,Inspection,Verified,4,Dual-plan decomposition,SR-102;SR-103;SR-104;SR-105;SR-106;SR-107;SR-108
SR-067,Work-item dependency validation,SN-002;SN-012,"check_trajectory.py shall validate WI id syntax, predecessor resolution, and acyclic hard dependencies; an absent or placeholder-only registry is vacuous and docs/trajectory-check: off opts out.",Realizes SN-002;SN-012 by isolating one independently reviewable obligation formerly carried by SR-037.,"Valid rows pass; malformed ids, unknown predecessors, and cycles name the offender and fail; absent, placeholder-only, and opted-out registries pass.",,M,Test,Verified,1,Trajectory,
SR-068,Work-item row coherence,SN-002;SN-012,"check_trajectory.py shall require Deliverable to be non-empty exactly when Status is done on every run and, under --strict, require each open WI SpecRef to resolve in-repo.",Realizes SN-002;SN-012 by isolating one independently reviewable obligation formerly carried by SR-037.,Either Deliverable/status mismatch fails every run; an empty or dangling open-WI SpecRef fails --strict; coherent rows pass.,,M,Test,Verified,1,Trajectory,
SR-069,Generated status source-of-truth guard,SN-002;SN-012,"check_trajectory.py shall flag a done WI token in hand-edited status.md, warning plain and failing --strict, while standing down for the generated marker, open or unknown ids, opt-out, and absent status.md.",Realizes SN-002;SN-012 by isolating one independently reviewable obligation formerly carried by SR-037.,"The hand-edited done-token case warns/fails by mode; generated status, open/unknown ids, opt-out, and absent status remain silent.",,M,Test,Verified,1,Trajectory,
SR-070,Offline project-state core,SN-010;SN-021,"gen_trajectory.py shall generate one self-contained root HTML file containing completeness tiles, the SN-to-SR-to-LLR-to-TC hierarchy, and the WI roadmap DAG.",Realizes SN-010;SN-021 by isolating one independently reviewable obligation formerly carried by SR-038.,The root file renders all three registry-derived views without external fetches and remains usable offline.,,M,Test,Verified,1,Trajectory,
SR-071,Conditional dashboard architecture and knowledge views,SN-010;SN-021,"gen_trajectory.py shall render software/component and OKF knowledge views only when their source bundles exist, omitting each view when its source is absent.",Realizes SN-010;SN-021 by isolating one independently reviewable obligation formerly carried by SR-038.,"Each source-backed view renders when present; removing its source omits it, and a source-less repo remains byte-stable.",,M,Test,Verified,1,Trajectory,
SR-072,Deterministic responsive dashboard freshness,SN-010;SN-021,gen_trajectory.py shall produce byte-deterministic responsive output.,"Realizes SN-010 and SN-021 — a generated dashboard that differs between runs cannot be freshness-checked, because every check reports a diff and the real staleness hides among them. Comparing rendered screenshots was rejected: it is expensive and still non-deterministic.","Repeated generation is byte-identical, and mobile CSS is present.",,M,Test,Verified,1,Trajectory,
SR-073,Interface-registry integrity,SN-023;SN-002,"trace.py shall integrity-check IF ids, SR back-links, Component references, and emit the best-effort ThisProject-to-LLR-Module advisory.",Realizes SN-023;SN-002 by isolating one independently reviewable obligation formerly carried by SR-044.,Malformed or duplicate ids and unresolved SR/Component links are findings; unmatched ThisProject emits only an advisory; an absent registry is vacuous.,,M,Test,Verified,1,Architecture connectivity,
SR-074,Architecture-connectivity coverage advisory,SN-023;SN-002,"check_trajectory.py shall emit opt-out, warn-first coverage for undeclared endpoints or directions, uncited Active seams, and dangling Contracts citations.",Realizes SN-023;SN-002 by isolating one independently reviewable obligation formerly carried by SR-044.,Each uncovered condition warns without changing exit status; source/sink notes and docs/interfaces-check: off suppress their declared cases; a small or absent inventory is vacuous.,,M,Test,Verified,1,Architecture connectivity,
SR-075,Declared-interface rendering,SN-023;SN-002,"gen_trajectory.py and gen_arch_map.py shall render declared IF seams in the dashboard and architecture map, retaining the table fallback when seams are absent.",Realizes SN-023;SN-002 by isolating one independently reviewable obligation formerly carried by SR-044.,Declared seams produce labeled graph edges in both views; no seams preserves the fallback; generation remains deterministic.,,M,Test,Verified,1,Architecture connectivity,
SR-076,Cross-component import coverage,SN-023;SN-002,"check_trajectory.py shall report an import edge crossing component boundaries when no declared interface covers it, with the declared vacuity, opt-out, and strictness behavior.",Realizes SN-023;SN-002 by isolating one independently reviewable obligation formerly carried by SR-044.,"An uncovered mapped cross-component edge warns plain and fails strict; a covering seam, intra-component or unmapped edge, absent imports, and opt-out stay silent.",,M,Test,Verified,1,Architecture connectivity,
SR-077,Spec interface-section validation,SN-023;SN-002,"check_trajectory.py shall validate an armed spec's Interfaces section for resolvable ids, Proposed rationales, and the intra-module escape.",Realizes SN-023;SN-002 by isolating one independently reviewable obligation formerly carried by SR-044.,"Unknown ids and rationale-less Proposed seams warn plain and fail strict; resolvable citations, justified Proposed seams, intra-module declarations, and unarmed specs pass.",,M,Test,Verified,1,Architecture connectivity,
SR-078,Rival-plan coverage comparison,SN-023;SN-002,"plan_coverage.py shall compare rival plans' clause, SR, and interface coverage while distinguishing findings, malformed inputs, and absent-registry notes.",Realizes SN-023;SN-002 by isolating one independently reviewable obligation formerly carried by SR-044.,Commensurable plans emit per-plan and pairwise coverage; bad refs or plan graphs exit 1; malformed inputs exit 2; absent registries produce notes without failure.,,M,Test,Verified,1,Architecture connectivity,
SR-079,Agent pair-row routing,SN-006;SN-016,"agent_route.py shall parse and select the pair-row registry with enable-list resolution, version ordering, Env merge, cooldown, family preference/fallback, and tier-up-never-down.",Realizes SN-006;SN-016 by isolating one independently reviewable obligation formerly carried by SR-045.,"Selection obeys registry order and all routing constraints, resolves version-less tokens deterministically, merges Env, preserves legacy Provider compatibility, and reports no route honestly.",,S,Test,Verified,1,Unattended loop,
SR-080,Managed review-session scheduling,SN-006;SN-016,"The unattended coordinator shall schedule review-policy sessions with redacted prompt-map briefs, parse verdicts, and log selections while preserving unmanaged behavior without an enable-list.",Realizes SN-006;SN-016 by isolating one independently reviewable obligation formerly carried by SR-045.,Policies 0/1/2 schedule zero/one/two reviewers; prompt-map preflight and redaction hold; every selection is logged; unmanaged mode retains legacy behavior.,,S,Test,Verified,1,Unattended loop,
SR-081,Review substance scoring,SN-006;SN-016,score_reviews.py shall score review substance into advisory decay history while treating severity hygiene and anti-gaming tripwires as non-scored gates and never rewarding length.,Realizes SN-006;SN-016 by isolating one independently reviewable obligation formerly carried by SR-045.,"Component scores, corroboration, decay, and every tripwire match their fixtures; length adds no score; verdict and scoreboard round trips are deterministic.",,S,Test,Verified,1,Unattended loop,
SR-082,Fixed review escalation,SN-006;SN-016,"The coordinator shall apply fixed win-stay/lose-shift escalation and gate-policy paging for shared failure, contradictions, and tripwires.",Realizes SN-006;SN-016 by isolating one independently reviewable obligation formerly carried by SR-045.,"Two failed gates swap family, a failed swap raises tier, and shared top-tier failure, contradictions, or tripwires page according to gate policy.",,S,Test,Verified,1,Unattended loop,
SR-083,Dual-plan planner-pair selection,SN-006;SN-016,agent_route.py shall select two fresh planner hats across families where possible and use the bounded runtime-nonresponse fallback.,Realizes SN-006;SN-016 by isolating one independently reviewable obligation formerly carried by SR-045.,Two-family pools diversify; one-family and single-row pools create fresh sessions with reason codes; nonresponse excludes the dead family; no responder is explicit.,,S,Test,Verified,1,Unattended loop,
SR-084,Independent subjective-quality critique dispatch,SN-024;SN-006,"The coordinator shall trigger a fresh family-heterogeneous Critique session only for Critique-scoped builds and construct its brief from rubric, intent, and artifact recipe without self-assessment.",Realizes SN-024;SN-006 by isolating one independently reviewable obligation formerly carried by SR-047.,Critique-scoped builds schedule the session; other builds do not; the prompt contains rubric/intent/recipe and excludes build transcript and self-assessment.,,S,Test,Verified,1,Unattended loop,
SR-085,Bounded critique rework loop,SN-024;SN-006,The coordinator shall iterate BUILD-to-CRITIQUE rework within AGENT_CRITIQUE_MAX and page through gate policy when the cap is exhausted.,Realizes SN-024;SN-006 by isolating one independently reviewable obligation formerly carried by SR-047.,CHANGES-REQUESTED reworks and re-critiques; approval stops; the configured cap pages through the declared policy.,,S,Test,Verified,1,Unattended loop,
SR-086,Critique verification and closure ratchet,SN-024;SN-006,trace.py shall accept Critique in Verification without exempting its LLR.,"Realizes SN-024 and SN-006 — some acceptance is a judgement no assertion settles, and with no vocabulary for it those rows either claim a Test they do not have or drop off the spine. Exempting a Critique row's LLR was rejected: the decomposition is what a critic reads, so removing it removes the thing being judged.","Critique is accepted while unknown methods fail, and its LLR remains required.",,S,Test,Verified,1,Unattended loop,
SR-087,Bounded software top view,SN-023;SN-012,"check_trajectory.py shall derive the top-level module/component view and enforce TOP_VIEW_MAX with nesting, opt-out, and small or absent inventory vacuity.",Realizes SN-023;SN-012 by isolating one independently reviewable obligation formerly carried by SR-048.,An oversized uncontained view warns/fails strict; valid containment clears it; nested components count at roots; opt-out and small/absent inventories are vacuous.,,S,Test,Verified,1,Architecture connectivity,
SR-088,Containerized How-SW rendering,SN-023;SN-012,gen_trajectory.py shall render How-SW membership in component containers with boundary-aggregated seams and retain the flat fallback without containment.,Realizes SN-023;SN-012 by isolating one independently reviewable obligation formerly carried by SR-048.,Contained modules render under components with deduplicated crossing edges; nested membership is preserved; no containment remains byte-identical and flat.,,S,Test,Verified,1,Architecture connectivity,
SR-089,Tiered When roadmap view,SN-010;SN-021,"gen_trajectory.py shall tier the When view phase-to-workstream-to-WI by count, expose delivery phase, and aggregate parent edges from child edges.",Realizes SN-010;SN-021 by isolating one independently reviewable obligation formerly carried by SR-051.,"Tiers collapse only above threshold, leaf phases are visible, and each parent edge equals the deduplicated union of crossing child edges.",,C,Test,Verified,2,Trajectory,
SR-090,Tiered How-SW hierarchy,SN-010;SN-021,gen_trajectory.py shall tier How-SW from components to modules whenever containment exists and bound the top level by TOP_VIEW_MAX.,Realizes SN-010;SN-021 by isolating one independently reviewable obligation formerly carried by SR-051.,Contained inventories render component tiers that drill to modules and respect the shared top-view cap; uncontained inventories retain the flat view.,,C,Test,Verified,2,Trajectory,
SR-091,Interface-wired hierarchy ports,SN-010;SN-021,gen_trajectory.py shall attach IF seams to visible block input/output ports and aggregate cross-container seams to container boundaries.,Realizes SN-010;SN-021 by isolating one independently reviewable obligation formerly carried by SR-051.,At every visible tier seams terminate at the correct ports; crossing seams aggregate at their container boundary without duplication.,,C,Test,Verified,2,Trajectory,
SR-092,One-layer hierarchy navigation,SN-010;SN-021,gen_trajectory.py shall descend one hierarchy layer by pointer or keyboard and restore parent views through a breadcrumb.,Realizes SN-010;SN-021 by isolating one independently reviewable obligation formerly carried by SR-051.,Double-click and Enter/Space descend focused containers exactly one layer; breadcrumb actions restore prior levels; interactions remain self-contained.,,C,Test,Verified,2,Trajectory,
SR-093,Pure safety classification,SN-025;SN-008,schedule.py shall purely classify every declared safety and policy input into one scheduling class plus deterministic reason codes.,Realizes SN-025;SN-008 by isolating one independently reviewable obligation formerly carried by SR-058.,"Every declared value and policy input maps deterministically; missing, unknown, or contradictory declarations fail closed only for the affected WI; all consumers agree.",,M,Test,Verified,4,Parallel dispatch,
SR-094,Structural safety cross-check,SN-025;SN-008,"schedule.py shall cross-check SafetyClass declarations against structural evidence and fail an invalid, missing, or contradictory WI closed without stopping disjoint classified work.",Realizes SN-025;SN-008 by isolating one independently reviewable obligation formerly carried by SR-058.,"Spine, critique, checkpoint, and dual-plan structure override dishonest declarations; the affected WI is quarantined with reasons while disjoint valid work remains schedulable.",,M,Test,Verified,4,Parallel dispatch,
SR-095,Superseded: Safety-aware traincar packing,SN-025;SN-008,"SR-095 is superseded by SR-132 (concurrency-restructure Phase 5, 2026-07-29): the bespoke dispatcher/reservation machinery this specified was deleted outright — git plus the serial local integrator is the integration seam (claims are serial trunk commits, the composed tree is the candidate by construction, recovery is plain git history). Active requirements, implementation links, and decomposition evidence shall cite the replacement row.","Identity history for the Phase 5 deletion (the SS6 fate table): the requirement's job survives in the integration seam, its machinery does not.",The SupersededBy link resolves to SR-132; no LLR cites this row; TC-133 cites it.,,M,Inspection,Verified,4,Parallel dispatch,SR-132
SR-096,Superseded: Atomic CAS integration,SN-025;SN-008,"SR-096 is superseded by SR-132 (concurrency-restructure Phase 5, 2026-07-29): the bespoke dispatcher/reservation machinery this specified was deleted outright — git plus the serial local integrator is the integration seam (claims are serial trunk commits, the composed tree is the candidate by construction, recovery is plain git history). Active requirements, implementation links, and decomposition evidence shall cite the replacement row.","Identity history for the Phase 5 deletion (the SS6 fate table): the requirement's job survives in the integration seam, its machinery does not.",The SupersededBy link resolves to SR-132; no LLR cites this row; TC-133 cites it.,,M,Inspection,Verified,4,Parallel dispatch,SR-132
SR-097,Superseded: Serialized blocked disposition,SN-025;SN-008,"SR-097 is superseded by SR-132 (concurrency-restructure Phase 5, 2026-07-29): the bespoke dispatcher/reservation machinery this specified was deleted outright — git plus the serial local integrator is the integration seam (claims are serial trunk commits, the composed tree is the candidate by construction, recovery is plain git history). Active requirements, implementation links, and decomposition evidence shall cite the replacement row.","Identity history for the Phase 5 deletion (the SS6 fate table): the requirement's job survives in the integration seam, its machinery does not.",The SupersededBy link resolves to SR-132; no LLR cites this row; TC-133 cites it.,,M,Inspection,Verified,4,Parallel dispatch,SR-132
SR-098,Superseded: Durable publication intent,SN-025;SN-008,"SR-098 is superseded by SR-132 (concurrency-restructure Phase 5, 2026-07-29): the bespoke dispatcher/reservation machinery this specified was deleted outright — git plus the serial local integrator is the integration seam (claims are serial trunk commits, the composed tree is the candidate by construction, recovery is plain git history). Active requirements, implementation links, and decomposition evidence shall cite the replacement row.","Identity history for the Phase 5 deletion (the SS6 fate table): the requirement's job survives in the integration seam, its machinery does not.",The SupersededBy link resolves to SR-132; no LLR cites this row; TC-133 cites it.,,M,Inspection,Verified,4,Parallel dispatch,SR-132
SR-099,Superseded: Git evidence enumeration,SN-025;SN-017,"SR-099 is superseded by SR-132 (concurrency-restructure Phase 5, 2026-07-29): the bespoke dispatcher/reservation machinery this specified was deleted outright — git plus the serial local integrator is the integration seam (claims are serial trunk commits, the composed tree is the candidate by construction, recovery is plain git history). Active requirements, implementation links, and decomposition evidence shall cite the replacement row.","Identity history for the Phase 5 deletion (the SS6 fate table): the requirement's job survives in the integration seam, its machinery does not.",The SupersededBy link resolves to SR-132; no LLR cites this row; TC-133 cites it.,,M,Inspection,Verified,4,Parallel dispatch,SR-132
SR-100,Superseded: Ownership-state reconstruction,SN-025;SN-017,"SR-100 is superseded by SR-132 (concurrency-restructure Phase 5, 2026-07-29): the bespoke dispatcher/reservation machinery this specified was deleted outright — git plus the serial local integrator is the integration seam (claims are serial trunk commits, the composed tree is the candidate by construction, recovery is plain git history). Active requirements, implementation links, and decomposition evidence shall cite the replacement row.","Identity history for the Phase 5 deletion (the SS6 fate table): the requirement's job survives in the integration seam, its machinery does not.",The SupersededBy link resolves to SR-132; no LLR cites this row; TC-133 cites it.,,M,Inspection,Verified,4,Parallel dispatch,SR-132
SR-101,Superseded: Lifecycle-boundary recovery,SN-025;SN-017,"SR-101 is superseded by SR-132 (concurrency-restructure Phase 5, 2026-07-29): the bespoke dispatcher/reservation machinery this specified was deleted outright — git plus the serial local integrator is the integration seam (claims are serial trunk commits, the composed tree is the candidate by construction, recovery is plain git history). Active requirements, implementation links, and decomposition evidence shall cite the replacement row.","Identity history for the Phase 5 deletion (the SS6 fate table): the requirement's job survives in the integration seam, its machinery does not.",The SupersededBy link resolves to SR-132; no LLR cites this row; TC-133 cites it.,,M,Inspection,Verified,4,Parallel dispatch,SR-132
SR-102,Typed dual-plan state machine,SN-024;SN-006,"plan_round.py shall enforce the typed dual-plan state machine, spend ledger, one-repair and revision caps, position-swap agreement, and PAGE outcomes.",Realizes SN-024;SN-006 by isolating one independently reviewable obligation formerly carried by SR-066.,Happy path selects within budget; illegal repeats raise caps; repair and revision rules hold; arbiter instability or exhaustion pages; state survives JSON round trip.,,S,Test,Verified,4,Dual-plan decomposition,
SR-103,Allowlist-only dual-plan briefs,SN-024;SN-006,"plan_briefs.py shall assemble planner, critic, and arbiter briefs only from SR/IF registries and strict prompt-template filling.",Realizes SN-024;SN-006 by isolating one independently reviewable obligation formerly carried by SR-066.,"Briefs contain allowlisted registry material, exclude status/log/self-assessment data, reject unknown or unfilled slots, and honor override then kit fallback.",,S,Test,Verified,4,Dual-plan decomposition,
SR-104,Dual-plan coverage-step adapter,SN-024;SN-006,"plan_coverage_step.py shall adapt mechanical coverage results into clean, implicated-repair, repeated-failure, and malformed round outcomes.",Realizes SN-024;SN-006 by isolating one independently reviewable obligation formerly carried by SR-066.,"Exit 0 advances, first findings implicate and repair once, repeated findings page, malformed is distinct and fails closed, and report payload is captured.",,S,Test,Verified,4,Dual-plan decomposition,
SR-105,Stable dual-plan artifacts and WI filing,SN-024;SN-006,plan_artifacts.py shall persist stable round artifacts and file selected queued child WIs with mapped predecessors and registry-valid fields.,Realizes SN-024;SN-006 by isolating one independently reviewable obligation formerly carried by SR-066.,"Round ids and stage names are stable; selected rows receive sequential ids, mapped dependencies, empty Deliverables and valid specs/tiers; line endings and prior log content survive.",,S,Test,Verified,4,Dual-plan decomposition,
SR-106,Fresh-session dual-plan execution,SN-024;SN-006,"plan_runner.py shall run two planners, cross-critiques, bounded revisions, and position-swapped arbiters as fresh sessions and select only on true-plan agreement.",Realizes SN-024;SN-006 by isolating one independently reviewable obligation formerly carried by SR-066.,"The complete round runs unattended with fresh session identities; runtime fallback is bounded; content agreement selects; position bias, missing rubric, or no route pages honestly.",,S,Test,Verified,4,Dual-plan decomposition,
SR-107,Dual-plan direct-path isolation,SN-024;SN-006,The worker shall refuse a dual row on the direct path.,"Realizes SN-024 and SN-006 — a dual-plan row built by the direct worker skips the competing-plan round that is the whole reason it was marked dual, and the skip is silent. Letting the worker fall back to a single plan was rejected: it produces a plausible result that nobody knows was never contested.",Direct workers reject dual rows and --dual-plan rejects non-dual rows.,,S,Test,Verified,4,Dual-plan decomposition,
SR-108,Dual-plan round disposition,SN-024;SN-006,"The --dual-plan round shall commit SELECT as a docs-only disposition (children filed as queued specs, validated atomically with their generated views) and surface PAGE per gate policy, never silently.","Realizes SN-024 and SN-016 — a disposition split across commits can land half-applied, and halting every lane for one round's outcome throws away the parallelism for work the outcome does not touch. Applying the disposition per-lane was rejected: the registries are shared, so concurrent writers conflict on every one.",SELECT files children that pass the registry validator; a PAGE preserves the round's evidence on disk.,,S,Test,Verified,4,Dual-plan decomposition,
